Data,Categoria,CONSUMO,CONSUMIDORES,Tipo_consumidor
2005-02-01,Outros,3895888.041,3244999.0,CATIVO
2005-02-01,Residencial,6758333.1,47370980.0,CATIVO
2005-02-01,SHV,4890607.832,16067675,CATIVO
2005-02-01,CHV,4852411.557,551,LIVRE
2005-02-01,Comercial,47088.201,40,LIVRE
2005-02-01,Industrial,5938627.428,492,LIVRE
2005-02-01,Outros,121250.577,19,LIVRE
2005-02-01,Residencial,0.0,0,LIVRE
2005-02-01,SHV,1254554.649,53,LIVRE
2005-03-01,CHV,17271277.969,55625822,CATIVO
2005-03-01,Comercial,4506507.532,4321625.0,CATIVO
2005-03-01,Industrial,6954888.987,505373.0,CATIVO
2005-03-01,Outros,3961159.875,3261629.0,CATIVO
2005-03-01,Residencial,6865215.603,47537195.0,CATIVO
2005-03-01,SHV,5016494.028,16141413,CATIVO
2005-03-01,CHV,4924892.290999999,550,LIVRE
2005-03-01,Comercial,46012.375,41,LIVRE
2005-03-01,Industrial,6110372.372,489,LIVRE
2005-03-01,Outros,113812.647,20,LIVRE
2005-03-01,Residencial,0.0,0,LIVRE
2005-03-01,SHV,1345305.1029999994,37,LIVRE
2005-04-01,CHV,17783539.855,55735754,CATIVO
2005-04-01,Comercial,4638131.991,4326185.0,CATIVO
2005-04-01,Industrial,7010917.183,505525.0,CATIVO
2005-04-01,Outros,4016889.572,3275494.0,CATIVO
2005-04-01,Residencial,7131738.269,47628550.0,CATIVO
2005-04-01,SHV,5014137.16,16184284,CATIVO
2005-04-01,CHV,5236185.0430000005,576,LIVRE
2005-04-01,Comercial,48947.76,41,LIVRE
2005-04-01,Industrial,6363071.616,511,LIVRE
2005-04-01,Outros,137330.42,24,LIVRE
2005-04-01,Residencial,0.0,0,LIVRE
2005-04-01,SHV,1313164.753,39,LIVRE
2005-05-01,CHV,16897869.042,55764322.307,CATIVO
2005-05-01,Comercial,4329877.093,4325466.147,CATIVO
2005-05-01,Industrial,6910322.838,505951.01,CATIVO
2005-05-01,Outros,3958627.954,3286726.968,CATIVO
2005-05-01,Residencial,6718147.337,47646178.182,CATIVO
2005-05-01,SHV,5019106.18,16196098.307,CATIVO
2005-05-01,CHV,5156272.204000002,603,LIVRE
2005-05-01,Comercial,47726.628,44,LIVRE
2005-05-01,Industrial,6381996.807,535,LIVRE
2005-05-01,Outros,135451.759,24,LIVRE
2005-05-01,Residencial,0.0,0,LIVRE
2005-05-01,SHV,1408902.9899999998,49,LIVRE
2005-06-01,CHV,16930252.044,56018609.307,CATIVO
2005-06-01,Comercial,4247401.865,4341518.147,CATIVO
2005-06-01,Industrial,6838595.674,506790.01,CATIVO
2005-06-01,Outros,3968437.293,3310962.968,CATIVO
2005-06-01,Residencial,6776657.851,47859338.182,CATIVO
2005-06-01,SHV,4900840.6389999995,16281793.307,CATIVO
2005-06-01,CHV,5122795.14,616,LIVRE
2005-06-01,Comercial,46876.804,44,LIVRE
2005-06-01,Industrial,6304452.851,548,LIVRE
2005-06-01,Outros,138127.395,24,LIVRE
2005-06-01,Residencial,0.0,0,LIVRE
2005-06-01,SHV,1366661.91,48,LIVRE
2005-07-01,CHV,16599987.171000002,56161280.307,CATIVO
2005-07-01,Comercial,4099567.377,4346912.147,CATIVO
2005-07-01,Industrial,6845900.544,507337.01,CATIVO
2005-07-01,Outros,3944285.34,3332886.968,CATIVO
2005-07-01,Residencial,6644820.476,47974144.182,CATIVO
2005-07-01,SHV,4934586.566000001,16352862.307,CATIVO
2005-07-01,CHV,5359633.6620000005,648,LIVRE
2005-07-01,Comercial,47689.416,52,LIVRE
2005-07-01,Industrial,6584545.427,560,LIVRE
2005-07-01,Outros,155508.266,36,LIVRE
2005-07-01,Residencial,0.0,0,LIVRE
2005-07-01,SHV,1428109.4469999997,47,LIVRE
2005-08-01,CHV,16637333.857,56322008,CATIVO
2005-08-01,Comercial,4092191.332,4348574.0,CATIVO
2005-08-01,Industrial,6851044.331,507951.0,CATIVO
2005-08-01,Outros,3999870.377,3351704.0,CATIVO
2005-08-01,Residencial,6704784.133,48113779.0,CATIVO
2005-08-01,SHV,5010556.316,16418439,CATIVO
2005-08-01,CHV,5661912.999999999,677,LIVRE
2005-08-01,Comercial,49894.184,53,LIVRE
2005-08-01,Industrial,6903680.985,587,LIVRE
2005-08-01,Outros,163537.331,37,LIVRE
2005-08-01,Residencial,0.0,0,LIVRE
2005-08-01,SHV,1455199.5,64,LIVRE
2005-09-01,CHV,17094366.739,56462947.460999995,CATIVO
2005-09-01,Comercial,4308502.066,4349013.226,CATIVO
2005-09-01,Industrial,6771327.983,508270.013,CATIVO
2005-09-01,Outros,4154601.616,3374340.007,CATIVO
2005-09-01,Residencial,6949354.55,48231324.215,CATIVO
2005-09-01,SHV,5089419.476,16469597.461,CATIVO
2005-09-01,CHV,5724819.315999999,699,LIVRE
2005-09-01,Comercial,52731.387,57,LIVRE
2005-09-01,Industrial,6929254.632,604,LIVRE
2005-09-01,Outros,169355.307,38,LIVRE
2005-09-01,Residencial,0.0,0,LIVRE
2005-09-01,SHV,1426522.0100000002,68,LIVRE
2005-10-01,CHV,16928627.408,56628029.460999995,CATIVO
2005-10-01,Comercial,4356878.554,4355807.226,CATIVO
2005-10-01,Industrial,6669050.415,508507.013,CATIVO
2005-10-01,Outros,4150619.741,3399204.007,CATIVO
2005-10-01,Residencial,6917987.523,48364511.215,CATIVO
2005-10-01,SHV,5165908.825,16537515.461,CATIVO
2005-10-01,CHV,5570967.307999999,684,LIVRE
2005-10-01,Comercial,55265.508,60,LIVRE
2005-10-01,Industrial,6843317.809,588,LIVRE
2005-10-01,Outros,152192.541,36,LIVRE
2005-10-01,Residencial,0.0,0,LIVRE
2005-10-01,SHV,1479808.55,70,LIVRE
2005-11-01,CHV,16891975.333000004,56766920.53,CATIVO
2005-11-01,Comercial,4475715.661,4360538.258,CATIVO
2005-11-01,Industrial,6538550.565,508831.012,CATIVO
2005-11-01,Outros,4157231.607,3419813.01,CATIVO
2005-11-01,Residencial,6976440.905,48477738.25,CATIVO
2005-11-01,SHV,5255963.404999999,16599711.53,CATIVO
2005-11-01,CHV,5688563.674000001,707,LIVRE
2005-11-01,Comercial,61151.01,62,LIVRE
2005-11-01,Industrial,6906713.028,607,LIVRE
2005-11-01,Outros,171813.634,38,LIVRE
2005-11-01,Residencial,0.0,0,LIVRE
2005-11-01,SHV,1451113.998,73,LIVRE
2005-12-01,CHV,16968106.975999996,56941976.576,CATIVO
2005-12-01,Comercial,4599352.936,4368071.202,CATIVO
2005-12-01,Industrial,6504027.256,510047.011,CATIVO
2005-12-01,Outros,4056322.091,3442940.06,CATIVO
2005-12-01,Residencial,7077729.55,48620918.303,CATIVO
2005-12-01,SHV,5269324.857,16677441.576,CATIVO
2005-12-01,CHV,5757306.527,714,LIVRE
2005-12-01,Comercial,63115.768,64,LIVRE
2005-12-01,Industrial,7045826.677,611,LIVRE
2005-12-01,Outros,158771.337,39,LIVRE
2005-12-01,Residencial,0.0,0,LIVRE
2005-12-01,SHV,1510407.2550000001,74,LIVRE
2006-01-01,CHV,16477583.34,57180385.474,CATIVO
2006-01-01,Comercial,4567635.517,4371705.199,CATIVO
2006-01-01,Industrial,5747975.305,509412.012,CATIVO
2006-01-01,Outros,4053903.397,3466586.006,CATIVO
2006-01-01,Residencial,7167631.952,48832682.257,CATIVO
2006-01-01,SHV,5059562.830999999,16756446.474,CATIVO
2006-01-01,CHV,5762213.334,832,LIVRE
2006-01-01,Comercial,75359.756,71,LIVRE
2006-01-01,Industrial,7103425.307,722,LIVRE
2006-01-01,Outros,164979.024,39,LIVRE
2006-01-01,Residencial,0.0,0,LIVRE
2006-01-01,SHV,1581550.753,78,LIVRE
2006-02-01,CHV,17233968.561,57318674.46,CATIVO
2006-02-01,Comercial,4745343.963,4374271.187,CATIVO
2006-02-01,Industrial,6055942.188,509327.006,CATIVO
2006-02-01,Outros,4216027.531,3485421.065,CATIVO
2006-02-01,Residencial,7131815.538,48949655.202,CATIVO
2006-02-01,SHV,4915160.659,16827487.46,CATIVO
2006-02-01,CHV,5799124.786999999,824,LIVRE
2006-02-01,Comercial,80325.771,77,LIVRE
2006-02-01,Industrial,6988389.094,708,LIVRE
2006-02-01,Outros,165642.128,39,LIVRE
2006-02-01,Residencial,0.0,0,LIVRE
2006-02-01,SHV,1435232.2059999998,78,LIVRE
2006-03-01,CHV,17405709.221,57504933,CATIVO
2006-03-01,Comercial,4793045.116,4348574.0,CATIVO
2006-03-01,Industrial,6167308.031,508724.0,CATIVO
2006-03-01,Outros,4131973.043,3505212.0,CATIVO
2006-03-01,Residencial,7408516.681,49142423.0,CATIVO
2006-03-01,SHV,5095133.65,16904415,CATIVO
2006-03-01,CHV,5831101.103999999,838,LIVRE
2006-03-01,Comercial,82025.387,77,LIVRE
2006-03-01,Industrial,7215018.887,722,LIVRE
2006-03-01,Outros,156004.74,39,LIVRE
2006-03-01,Residencial,0.0,0,LIVRE
2006-03-01,SHV,1621947.9100000001,81,LIVRE
2006-04-01,CHV,17171681.663,57609801,CATIVO
2006-04-01,Comercial,4747896.608,4352712.0,CATIVO
2006-04-01,Industrial,6101496.399,508500.0,CATIVO
2006-04-01,Outros,4074174.351,3524633.0,CATIVO
2006-04-01,Residencial,7229825.818,49223956.0,CATIVO
2006-04-01,SHV,4981711.513,16969396,CATIVO
2006-04-01,CHV,6078033.263,868,LIVRE
2006-04-01,Comercial,85797.294,78,LIVRE
2006-04-01,Industrial,7430311.109,751,LIVRE
2006-04-01,Outros,170205.104,39,LIVRE
2006-04-01,Residencial,0.0,0,LIVRE
2006-04-01,SHV,1608280.2440000004,84,LIVRE
2006-05-01,CHV,16365056.454,57789205,CATIVO
2006-05-01,Comercial,4334890.944,4352090.0,CATIVO
2006-05-01,Industrial,5969041.151,509025.0,CATIVO
2006-05-01,Outros,4054557.626,3546197.0,CATIVO
2006-05-01,Residencial,6933355.613,49381893.0,CATIVO
2006-05-01,SHV,4926788.88,17035942,CATIVO
2006-05-01,CHV,6054723.261,880,LIVRE
2006-05-01,Comercial,83717.85,81,LIVRE
2006-05-01,Industrial,7437712.773,761,LIVRE
2006-05-01,Outros,154294.437,38,LIVRE
2006-05-01,Residencial,0.0,0,LIVRE
2006-05-01,SHV,1621001.799,83,LIVRE
2006-06-01,CHV,16349376.561999999,57924467,CATIVO
2006-06-01,Comercial,4225565.464,4365959.0,CATIVO
2006-06-01,Industrial,6046362.36,509097.0,CATIVO
2006-06-01,Outros,4034714.875,3560647.0,CATIVO
2006-06-01,Residencial,6963614.779,49488764.0,CATIVO
2006-06-01,SHV,4920880.916,17106459,CATIVO
2006-06-01,CHV,6179427.713,908,LIVRE
2006-06-01,Comercial,94024.798,82,LIVRE
2006-06-01,Industrial,7522304.069,787,LIVRE
2006-06-01,Outros,173658.955,39,LIVRE
2006-06-01,Residencial,0.0,0,LIVRE
2006-06-01,SHV,1610560.1090000002,87,LIVRE
2006-07-01,CHV,16205713.979,58065641,CATIVO
2006-07-01,Comercial,4134153.603,4365118.0,CATIVO
2006-07-01,Industrial,6005044.671,510799.0,CATIVO
2006-07-01,Outros,4087413.263,3570192.0,CATIVO
2006-07-01,Residencial,6892915.368,49619532.0,CATIVO
2006-07-01,SHV,4913812.926,17159693,CATIVO
2006-07-01,CHV,6293205.795000001,908,LIVRE
2006-07-01,Comercial,96360.988,85,LIVRE
2006-07-01,Industrial,7691506.424,784,LIVRE
2006-07-01,Outros,164614.84,39,LIVRE
2006-07-01,Residencial,0.0,0,LIVRE
2006-07-01,SHV,1659276.457,88,LIVRE
2006-08-01,CHV,16555909.938,58259189,CATIVO
2006-08-01,Comercial,4309463.21,4373746.0,CATIVO
2006-08-01,Industrial,6212500.404,509605.0,CATIVO
2006-08-01,Outros,4202194.402,3599921.0,CATIVO
2006-08-01,Residencial,6939971.547,49775917.0,CATIVO
2006-08-01,SHV,5108219.625,17229002,CATIVO
2006-08-01,CHV,6538983.279999999,928,LIVRE
2006-08-01,Comercial,98762.253,86,LIVRE
2006-08-01,Industrial,7951539.859,803,LIVRE
2006-08-01,Outros,171804.026,39,LIVRE
2006-08-01,Residencial,0.0,0,LIVRE
2006-08-01,SHV,1683122.858,88,LIVRE
2006-09-01,CHV,16766303.194,58452658,CATIVO
2006-09-01,Comercial,4410721.599,4382204.0,CATIVO
2006-09-01,Industrial,6116687.084,509961.0,CATIVO
2006-09-01,Outros,4306839.33,3629855.0,CATIVO
2006-09-01,Residencial,7128370.581,49930638.0,CATIVO
2006-09-01,SHV,5196315.4,17314052,CATIVO
2006-09-01,CHV,6341906.427999998,939,LIVRE
2006-09-01,Comercial,101292.18,87,LIVRE
2006-09-01,Industrial,7708795.131,813,LIVRE
2006-09-01,Outros,172771.16,39,LIVRE
2006-09-01,Residencial,0.0,0,LIVRE
2006-09-01,SHV,1640952.0430000003,89,LIVRE
2006-10-01,CHV,16691015.404000001,58578095,CATIVO
2006-10-01,Comercial,4480740.602,4415790.0,CATIVO
2006-10-01,Industrial,6149382.454,513017.0,CATIVO
2006-10-01,Outros,4215553.741,3656020.0,CATIVO
2006-10-01,Residencial,7182235.971,49993268.0,CATIVO
2006-10-01,SHV,5336897.364,17389166,CATIVO
2006-10-01,CHV,6361145.411,955,LIVRE
2006-10-01,Comercial,101050.249,89,LIVRE
2006-10-01,Industrial,7803233.941,827,LIVRE
2006-10-01,Outros,161424.114,39,LIVRE
2006-10-01,Residencial,0.0,0,LIVRE
2006-10-01,SHV,1704562.893,89,LIVRE
2006-11-01,CHV,17061196.673,58895952,CATIVO
2006-11-01,Comercial,4662415.105,4426149.0,CATIVO
2006-11-01,Industrial,6119667.055,513943.0,CATIVO
2006-11-01,Outros,4190354.5,3691569.0,CATIVO
2006-11-01,Residencial,7438708.379,50264291.0,CATIVO
2006-11-01,SHV,5349948.366,17466552,CATIVO
2006-11-01,CHV,6486676.38,961,LIVRE
2006-11-01,Comercial,105814.073,95,LIVRE
2006-11-01,Industrial,7870171.144,827,LIVRE
2006-11-01,Outros,165047.627,39,LIVRE
2006-11-01,Residencial,0.0,0,LIVRE
2006-11-01,SHV,1654356.4640000002,90,LIVRE
2006-12-01,CHV,17217019.231000002,58978724,CATIVO
2006-12-01,Comercial,4834364.402,4430909.0,CATIVO
2006-12-01,Industrial,6079725.329,514787.0,CATIVO
2006-12-01,Outros,4247325.22,3714169.0,CATIVO
2006-12-01,Residencial,7366884.598,50318859.0,CATIVO
2006-12-01,SHV,5311280.318,17554135,CATIVO
2006-12-01,CHV,6289880.109,975,LIVRE
2006-12-01,Comercial,117976.693,104,LIVRE
2006-12-01,Industrial,7686837.845,832,LIVRE
2006-12-01,Outros,160864.549,39,LIVRE
2006-12-01,Residencial,0.0,0,LIVRE
2006-12-01,SHV,1675798.978,95,LIVRE
2007-01-01,CHV,17095007,59087811,CATIVO
2007-01-01,Comercial,4825523.0,4416810.0,CATIVO
2007-01-01,Industrial,5601371.0,513717.0,CATIVO
2007-01-01,Outros,4288551.0,3745497.0,CATIVO
2007-01-01,Residencial,7710353.0,50411787.0,CATIVO
2007-01-01,SHV,5330791,17533428,CATIVO
2007-01-01,CHV,6586161,970,LIVRE
2007-01-01,Comercial,116057.0,106,LIVRE
2007-01-01,Industrial,7990750.0,825,LIVRE
2007-01-01,Outros,167099.0,39,LIVRE
2007-01-01,Residencial,0.0,0,LIVRE
2007-01-01,SHV,1687745,100,LIVRE
2007-02-01,CHV,17232541,59354619,CATIVO
2007-02-01,Comercial,4809237.0,4451294.0,CATIVO
2007-02-01,Industrial,5983386.0,515950.0,CATIVO
2007-02-01,Outros,4159278.0,3770466.0,CATIVO
2007-02-01,Residencial,7392941.0,50616909.0,CATIVO
2007-02-01,SHV,5112301,17754706,CATIVO
2007-02-01,CHV,6455990,991,LIVRE
2007-02-01,Comercial,114706.0,114,LIVRE
2007-02-01,Industrial,7700248.0,837,LIVRE
2007-02-01,Outros,164873.0,40,LIVRE
2007-02-01,Residencial,0.0,0,LIVRE
2007-02-01,SHV,1523837,101,LIVRE
2007-03-01,CHV,17761362,59561486,CATIVO
2007-03-01,Comercial,4981067.0,4463101.0,CATIVO
