Data,Categoria,CONSUMO,CONSUMIDORES,Tipo_consumidor
2005-01-31,SHV,"5144139,544","16051910,0",CATIVO
2005-01-31,CHV,"4458981,849","519,0",LIVRE
2005-01-31,Comercial,"47277,828","39,0",LIVRE
2005-01-31,Industrial,"5671981,754","470,0",LIVRE
2005-01-31,Outros,"58297,115","10,0",LIVRE
2005-01-31,Residencial,"0,0","0,0",LIVRE
2005-01-31,SHV,"1318574,8479999998","51,0",LIVRE
2005-02-28,CHV,"16890043,625","55436106,0",CATIVO
2005-02-28,Comercial,"4318517,887","4315200,0",CATIVO
2005-02-28,Industrial,"6807912,429","504927,0",CATIVO
2005-02-28,Outros,"3895888,041","3244999,0",CATIVO
2005-02-28,Residencial,"6758333,1","47370980,0",CATIVO
2005-02-28,SHV,"4890607,832","16067675,0",CATIVO
2005-02-28,CHV,"4852411,557","551,0",LIVRE
2005-02-28,Comercial,"47088,201","40,0",LIVRE
2005-02-28,Industrial,"5938627,428","492,0",LIVRE
2005-02-28,Outros,"121250,577","19,0",LIVRE
2005-02-28,Residencial,"0,0","0,0",LIVRE
2005-02-28,SHV,"1254554,649","53,0",LIVRE
2005-03-31,CHV,"17271277,969","55625822,0",CATIVO
2005-03-31,Comercial,"4506507,532","4321625,0",CATIVO
2005-03-31,Industrial,"6954888,987","505373,0",CATIVO
2005-03-31,Outros,"3961159,875","3261629,0",CATIVO
2005-03-31,Residencial,"6865215,603","47537195,0",CATIVO
2005-03-31,SHV,"5016494,028","16141413,0",CATIVO
2005-03-31,CHV,"4924892,290999999","550,0",LIVRE
2005-03-31,Comercial,"46012,375","41,0",LIVRE
2005-03-31,Industrial,"6110372,372","489,0",LIVRE
2005-03-31,Outros,"113812,647","20,0",LIVRE
2005-03-31,Residencial,"0,0","0,0",LIVRE
2005-03-31,SHV,"1345305,1029999994","37,0",LIVRE
2005-04-30,CHV,"17783539,855","55735754,0",CATIVO
2005-04-30,Comercial,"4638131,991","4326185,0",CATIVO
2005-04-30,Industrial,"7010917,183","505525,0",CATIVO
2005-04-30,Outros,"4016889,572","3275494,0",CATIVO
2005-04-30,Residencial,"7131738,269","47628550,0",CATIVO
2005-04-30,SHV,"5014137,16","16184284,0",CATIVO
2005-04-30,CHV,"5236185,0430000005","576,0",LIVRE
2005-04-30,Comercial,"48947,76","41,0",LIVRE
2005-04-30,Industrial,"6363071,616","511,0",LIVRE
2005-04-30,Outros,"137330,42","24,0",LIVRE
2005-04-30,Residencial,"0,0","0,0",LIVRE
2005-04-30,SHV,"1313164,753","39,0",LIVRE
2005-05-31,CHV,"16897869,042","55764322,307",CATIVO
2005-05-31,Comercial,"4329877,093","4325466,147",CATIVO
2005-05-31,Industrial,"6910322,838","505951,01",CATIVO
2005-05-31,Outros,"3958627,954","3286726,968",CATIVO
2005-05-31,Residencial,"6718147,337","47646178,182",CATIVO
2005-05-31,SHV,"5019106,18","16196098,307",CATIVO
2005-05-31,CHV,"5156272,204000002","603,0",LIVRE
2005-05-31,Comercial,"47726,628","44,0",LIVRE
2005-05-31,Industrial,"6381996,807","535,0",LIVRE
2005-05-31,Outros,"135451,759","24,0",LIVRE
2005-05-31,Residencial,"0,0","0,0",LIVRE
2005-05-31,SHV,"1408902,9899999998","49,0",LIVRE
2005-06-30,CHV,"16930252,044","56018609,307",CATIVO
2005-06-30,Comercial,"4247401,865","4341518,147",CATIVO
2005-06-30,Industrial,"6838595,674","506790,01",CATIVO
2005-06-30,Outros,"3968437,293","3310962,968",CATIVO
2005-06-30,Residencial,"6776657,851","47859338,182",CATIVO
2005-06-30,SHV,"4900840,6389999995","16281793,307",CATIVO
2005-06-30,CHV,"5122795,14","616,0",LIVRE
2005-06-30,Comercial,"46876,804","44,0",LIVRE
2005-06-30,Industrial,"6304452,851","548,0",LIVRE
2005-06-30,Outros,"138127,395","24,0",LIVRE
2005-06-30,Residencial,"0,0","0,0",LIVRE
2005-06-30,SHV,"1366661,91","48,0",LIVRE
2005-07-31,CHV,"16599987,171000002","56161280,307",CATIVO
2005-07-31,Comercial,"4099567,377","4346912,147",CATIVO
2005-07-31,Industrial,"6845900,544","507337,01",CATIVO
2005-07-31,Outros,"3944285,34","3332886,968",CATIVO
2005-07-31,Residencial,"6644820,476","47974144,182",CATIVO
2005-07-31,SHV,"4934586,566000001","16352862,307",CATIVO
2005-07-31,CHV,"5359633,6620000005","648,0",LIVRE
2005-07-31,Comercial,"47689,416","52,0",LIVRE
2005-07-31,Industrial,"6584545,427","560,0",LIVRE
2005-07-31,Outros,"155508,266","36,0",LIVRE
2005-07-31,Residencial,"0,0","0,0",LIVRE
2005-07-31,SHV,"1428109,4469999997","47,0",LIVRE
2005-08-31,CHV,"16637333,857","56322008,0",CATIVO
2005-08-31,Comercial,"4092191,332","4348574,0",CATIVO
2005-08-31,Industrial,"6851044,331","507951,0",CATIVO
2005-08-31,Outros,"3999870,377","3351704,0",CATIVO
2005-08-31,Residencial,"6704784,133","48113779,0",CATIVO
2005-08-31,SHV,"5010556,316","16418439,0",CATIVO
2005-08-31,CHV,"5661912,999999999","677,0",LIVRE
2005-08-31,Comercial,"49894,184","53,0",LIVRE
2005-08-31,Industrial,"6903680,985","587,0",LIVRE
2005-08-31,Outros,"163537,331","37,0",LIVRE
2005-08-31,Residencial,"0,0","0,0",LIVRE
2005-08-31,SHV,"1455199,5","64,0",LIVRE
2005-09-30,CHV,"17094366,739","56462947,460999995",CATIVO
2005-09-30,Comercial,"4308502,066","4349013,226",CATIVO
2005-09-30,Industrial,"6771327,983","508270,013",CATIVO
2005-09-30,Outros,"4154601,616","3374340,007",CATIVO
2005-09-30,Residencial,"6949354,55","48231324,215",CATIVO
2005-09-30,SHV,"5089419,476","16469597,461",CATIVO
2005-09-30,CHV,"5724819,315999999","699,0",LIVRE
2005-09-30,Comercial,"52731,387","57,0",LIVRE
2005-09-30,Industrial,"6929254,632","604,0",LIVRE
2005-09-30,Outros,"169355,307","38,0",LIVRE
2005-09-30,Residencial,"0,0","0,0",LIVRE
2005-09-30,SHV,"1426522,0100000002","68,0",LIVRE
2005-10-31,CHV,"16928627,408","56628029,460999995",CATIVO
2005-10-31,Comercial,"4356878,554","4355807,226",CATIVO
2005-10-31,Industrial,"6669050,415","508507,013",CATIVO
2005-10-31,Outros,"4150619,741","3399204,007",CATIVO
2005-10-31,Residencial,"6917987,523","48364511,215",CATIVO
2005-10-31,SHV,"5165908,825","16537515,461",CATIVO
2005-10-31,CHV,"5570967,307999999","684,0",LIVRE
2005-10-31,Comercial,"55265,508","60,0",LIVRE
2005-10-31,Industrial,"6843317,809","588,0",LIVRE
2005-10-31,Outros,"152192,541","36,0",LIVRE
2005-10-31,Residencial,"0,0","0,0",LIVRE
2005-10-31,SHV,"1479808,55","70,0",LIVRE
2005-11-30,CHV,"16891975,333000004","56766920,53",CATIVO
2005-11-30,Comercial,"4475715,661","4360538,258",CATIVO
2005-11-30,Industrial,"6538550,565","508831,012",CATIVO
2005-11-30,Outros,"4157231,607","3419813,01",CATIVO
2005-11-30,Residencial,"6976440,905","48477738,25",CATIVO
2005-11-30,SHV,"5255963,404999999","16599711,53",CATIVO
2005-11-30,CHV,"5688563,674000001","707,0",LIVRE
2005-11-30,Comercial,"61151,01","62,0",LIVRE
2005-11-30,Industrial,"6906713,028","607,0",LIVRE
2005-11-30,Outros,"171813,634","38,0",LIVRE
2005-11-30,Residencial,"0,0","0,0",LIVRE
2005-11-30,SHV,"1451113,998","73,0",LIVRE
2005-12-31,CHV,"16968106,975999996","56941976,576",CATIVO
2005-12-31,Comercial,"4599352,936","4368071,202",CATIVO
2005-12-31,Industrial,"6504027,256","510047,011",CATIVO
2005-12-31,Outros,"4056322,091","3442940,06",CATIVO
2005-12-31,Residencial,"7077729,55","48620918,303",CATIVO
